user_id,matched_user_id,action,timestamp
U001,U060,0,2025-01-28
U001,U056,1,2025-01-17
U001,U039,0,2025-01-31
U001,U010,0,2025-03-02
U001,U002,0,2025-02-27
U001,U057,0,2025-02-05
U001,U063,1,2025-01-05
U002,U069,0,2025-02-10
U002,U054,0,2025-01-14
U002,U018,0,2025-01-04
U002,U084,0,2025-01-12
U002,U067,0,2025-02-06
U002,U059,0,2025-01-09
U003,U067,0,2025-02-09
U003,U031,0,2025-02-06
U003,U052,0,2025-01-13
U003,U032,0,2025-02-21
U003,U059,1,2025-02-01
U003,U057,0,2025-01-25
U003,U041,0,2025-02-16
U004,U074,0,2025-02-20
U004,U020,0,2025-02-24
U004,U039,0,2025-02-27
U004,U089,0,2025-02-25
U004,U070,1,2025-01-10
U004,U011,0,2025-02-03
U004,U021,0,2025-01-14
U004,U048,0,2025-01-27
U005,U088,0,2025-01-19
U005,U084,1,2025-01-27
U005,U047,1,2025-01-27
U005,U027,0,2025-02-19
U005,U058,1,2025-01-16
U006,U025,0,2025-01-23
U006,U052,0,2025-02-25
U006,U023,1,2025-02-12
U006,U059,0,2025-02-21
U006,U079,0,2025-02-01
U006,U031,1,2025-01-14
U007,U049,1,2025-02-28
U007,U064,1,2025-01-18
U007,U028,0,2025-01-26
U007,U044,0,2025-02-26
U007,U020,0,2025-02-10
U007,U031,1,2025-01-03
U007,U081,0,2025-01-21
U007,U051,0,2025-01-03
U008,U018,0,2025-01-07
U008,U065,1,2025-01-10
U008,U041,0,2025-01-06
U008,U068,0,2025-02-07
U008,U024,0,2025-02-24
U008,U006,0,2025-03-02
U008,U071,0,2025-02-23
U008,U086,1,2025-01-04
U009,U017,0,2025-02-09
U009,U054,0,2025-02-23
U009,U034,1,2025-02-21
U009,U087,0,2025-01-02
U009,U057,0,2025-01-16
U010,U048,0,2025-02-19
U010,U030,0,2025-02-26
U010,U055,0,2025-02-08
U010,U077,1,2025-01-12
U010,U067,0,2025-01-06
U010,U042,1,2025-02-13
U011,U057,0,2025-01-28
U011,U027,1,2025-01-06
U011,U072,1,2025-02-06
U011,U023,0,2025-02-21
U011,U080,0,2025-01-12
U011,U079,0,2025-01-08
U011,U089,0,2025-02-22
U011,U038,1,2025-01-28
U012,U055,1,2025-02-20
U012,U075,1,2025-02-03
U012,U022,1,2025-02-21
U012,U052,0,2025-01-31
U012,U024,0,2025-01-24
U012,U046,0,2025-02-13
U012,U001,0,2025-01-10
U013,U024,0,2025-01-27
U013,U029,0,2025-02-09
U013,U079,0,2025-02-16
U013,U056,0,2025-01-16
U013,U012,1,2025-02-14
U013,U028,1,2025-02-20
U014,U007,0,2025-02-23
U014,U013,0,2025-02-02
U014,U065,0,2025-01-20
U014,U069,0,2025-01-27
U014,U086,0,2025-02-20
U015,U065,1,2025-02-16
U015,U029,0,2025-02-28
U015,U081,0,2025-03-01
U015,U014,1,2025-02-16
U015,U058,0,2025-02-19
U016,U031,1,2025-03-02
U016,U018,1,2025-02-16
U016,U003,0,2025-02-20
U016,U053,0,2025-03-02
U016,U038,0,2025-02-03
U017,U034,1,2025-01-10
U017,U039,1,2025-01-22
U017,U051,0,2025-01-18
U017,U052,0,2025-01-13
U017,U085,0,2025-01-29
U017,U031,0,2025-01-17
U017,U015,0,2025-01-20
U018,U059,0,2025-01-19
U018,U086,0,2025-01-10
U018,U055,0,2025-01-27
U018,U007,1,2025-01-05
U018,U075,0,2025-01-19
U019,U047,0,2025-02-17
U019,U020,0,2025-01-03
U019,U014,1,2025-01-18
U019,U039,0,2025-01-11
U019,U050,1,2025-02-24
U019,U059,0,2025-01-14
U020,U074,0,2025-03-01
U020,U052,1,2025-02-27
U020,U069,1,2025-02-04
U020,U035,0,2025-01-05
U020,U048,0,2025-02-25
U020,U013,1,2025-02-07
U020,U043,0,2025-01-04
U020,U059,0,2025-02-28
U021,U042,1,2025-03-01
U021,U011,1,2025-02-26
U021,U087,0,2025-01-19
U021,U085,0,2025-02-04
U021,U075,0,2025-01-21
U021,U041,1,2025-01-21
U021,U048,0,2025-02-22
U021,U071,0,2025-02-01
U022,U041,1,2025-02-18
U022,U070,0,2025-03-01
U022,U060,0,2025-02-14
U022,U045,1,2025-02-16
U022,U078,0,2025-01-20
U022,U004,0,2025-01-11
U023,U081,1,2025-02-08
U023,U047,0,2025-01-14
U023,U084,0,2025-01-20
U023,U049,0,2025-01-07
U023,U073,0,2025-01-07
U023,U060,0,2025-01-15
U023,U018,1,2025-02-15
U023,U071,0,2025-02-08
U024,U073,1,2025-02-19
U024,U055,1,2025-01-29
U024,U086,0,2025-02-17
U024,U027,1,2025-01-23
U024,U033,0,2025-03-01
U024,U077,1,2025-02-26
U024,U080,0,2025-01-19
U024,U052,0,2025-02-21
U025,U036,0,2025-02-26
U025,U021,0,2025-02-14
U025,U066,0,2025-03-01
U025,U034,0,2025-02-01
U025,U001,1,2025-01-27
U026,U020,0,2025-02-09
U026,U071,0,2025-01-08
U026,U016,1,2025-01-11
U026,U028,0,2025-01-10
U026,U012,1,2025-02-03
U027,U035,0,2025-01-14
U027,U064,0,2025-02-18
U027,U069,0,2025-01-13
U027,U073,0,2025-02-13
U027,U011,1,2025-02-11
U027,U051,1,2025-02-26
U027,U010,0,2025-02-17
U027,U045,0,2025-02-15
U028,U026,1,2025-01-16
U028,U025,0,2025-01-15
U028,U086,1,2025-01-02
U028,U015,1,2025-01-13
U028,U024,0,2025-01-10
U028,U062,1,2025-01-26
U028,U005,1,2025-02-08
U029,U030,1,2025-02-19
U029,U043,1,2025-02-04
U029,U020,0,2025-02-19
U029,U083,0,2025-02-26
U029,U052,0,2025-02-22
U030,U063,0,2025-01-18
U030,U034,0,2025-02-11
U030,U088,0,2025-02-05
U030,U067,1,2025-01-09
U030,U056,0,2025-01-10
U030,U022,0,2025-01-21
U030,U045,1,2025-02-10
U031,U060,1,2025-01-06
U031,U080,0,2025-01-29
U031,U055,0,2025-01-23
U031,U004,0,2025-01-20
U031,U030,0,2025-02-25
U031,U081,0,2025-02-28
U031,U082,0,2025-02-05
U031,U089,1,2025-02-06
U032,U057,0,2025-01-29
U032,U053,0,2025-01-23
U032,U034,1,2025-01-18
U032,U029,0,2025-01-10
U032,U073,0,2025-02-05
U032,U044,1,2025-02-18
U032,U072,0,2025-01-30
U032,U030,1,2025-01-17
U033,U077,0,2025-01-11
U033,U027,0,2025-02-10
U033,U049,1,2025-02-05
U033,U017,0,2025-03-01
U033,U066,0,2025-01-29
U033,U072,0,2025-02-18
U034,U032,0,2025-02-02
U034,U046,1,2025-01-27
U034,U089,0,2025-01-28
U034,U078,1,2025-01-13
U034,U022,1,2025-02-21
U034,U047,0,2025-01-05
U034,U068,0,2025-02-06
U035,U050,0,2025-01-15
U035,U084,0,2025-01-09
U035,U041,0,2025-02-11
U035,U081,0,2025-02-02
U035,U075,0,2025-02-19
U035,U031,1,2025-02-24
U035,U033,0,2025-01-20
U036,U079,1,2025-01-15
U036,U028,1,2025-01-06
U036,U004,0,2025-01-17
U036,U073,1,2025-02-19
U036,U045,1,2025-02-13
U036,U014,1,2025-02-18
U037,U006,0,2025-01-08
U037,U080,1,2025-02-17
U037,U041,0,2025-01-12
U037,U001,0,2025-01-15
U037,U079,0,2025-02-01
U037,U024,0,2025-01-07
U037,U057,0,2025-01-02
U037,U076,1,2025-01-19
U038,U010,1,2025-02-05
U038,U024,0,2025-01-05
U038,U032,0,2025-01-23
U038,U065,0,2025-01-07
U038,U045,0,2025-02-04
U038,U078,0,2025-02-21
U038,U011,0,2025-01-13
U038,U001,0,2025-01-21
U039,U032,0,2025-01-30
U039,U020,1,2025-01-06
U039,U033,1,2025-01-23
U039,U086,0,2025-02-01
U039,U058,0,2025-01-15
U039,U066,0,2025-02-01
U039,U019,0,2025-01-05
U040,U045,1,2025-01-25
U040,U062,0,2025-02-08
U040,U087,1,2025-02-28
U040,U026,1,2025-01-11
U040,U048,1,2025-03-01
U040,U032,1,2025-02-11
U040,U020,0,2025-01-05
U040,U005,0,2025-01-13
U041,U072,0,2025-02-25
U041,U035,1,2025-01-10
U041,U029,1,2025-02-13
U041,U036,0,2025-02-16
U041,U020,1,2025-01-23
U041,U061,1,2025-03-01
U041,U084,0,2025-01-26
U042,U035,0,2025-01-24
U042,U029,0,2025-01-26
U042,U037,0,2025-02-26
U042,U001,0,2025-01-05
U042,U012,0,2025-02-28
U043,U037,1,2025-02-21
U043,U009,0,2025-02-06
U043,U086,0,2025-02-22
U043,U047,0,2025-01-28
U043,U056,1,2025-01-22
U044,U008,1,2025-02-18
U044,U009,1,2025-02-03
U044,U036,0,2025-02-10
U044,U038,1,2025-01-04
U044,U033,1,2025-01-15
U045,U001,1,2025-02-23
U045,U003,0,2025-02-15
U045,U056,1,2025-01-09
U045,U004,0,2025-03-02
U045,U059,1,2025-01-27
U046,U041,0,2025-01-02
U046,U072,0,2025-02-03
U046,U082,0,2025-02-25
U046,U026,1,2025-01-08
U046,U027,0,2025-01-21
U046,U013,0,2025-01-28
U046,U018,0,2025-01-18
U047,U054,0,2025-02-24
U047,U050,0,2025-01-01
U047,U068,1,2025-01-14
U047,U035,1,2025-02-11
U047,U023,0,2025-03-01
U047,U049,0,2025-02-24
U047,U086,1,2025-01-14
U047,U001,1,2025-01-28
U048,U080,0,2025-01-03
U048,U066,0,2025-01-17
U048,U026,1,2025-01-19
U048,U057,0,2025-01-20
U048,U084,1,2025-02-20
U048,U006,0,2025-02-07
U049,U088,0,2025-01-28
U049,U005,0,2025-02-16
U049,U058,1,2025-02-25
U049,U041,1,2025-02-27
U049,U038,1,2025-01-17
U049,U032,0,2025-01-20
U049,U028,0,2025-01-04
U050,U001,0,2025-01-29
U050,U046,0,2025-01-13
U050,U053,1,2025-01-13
U050,U004,0,2025-01-08
U050,U038,1,2025-01-29
U051,U071,1,2025-01-05
U051,U038,1,2025-01-10
